date;country;state;confirmed
2020-01-22;Australia;Australian Capital Territory;0.0
2020-01-22;Australia;New South Wales;0.0
2020-01-22;Australia;Northern Territory;0.0
2020-01-22;Australia;Queensland;0.0
2020-01-22;Australia;South Australia;0.0
2020-01-22;Australia;Tasmania;0.0
2020-01-22;Australia;Victoria;0.0
2020-01-22;Australia;Western Australia;0.0
2020-01-22;Canada;Alberta;0.0
2020-01-22;Canada;British Columbia;0.0
2020-01-22;Canada;Diamond Princess;0.0
2020-01-22;Canada;Grand Princess;0.0
2020-01-22;Canada;Manitoba;0.0
2020-01-22;Canada;New Brunswick;0.0
2020-01-22;Canada;Newfoundland and Labrador;0.0
2020-01-22;Canada;Northwest Territories;0.0
2020-01-22;Canada;Nova Scotia;0.0
2020-01-22;Canada;Ontario;0.0
2020-01-22;Canada;Prince Edward Island;0.0
2020-01-22;Canada;Quebec;0.0
2020-01-22;Canada;Saskatchewan;0.0
2020-01-22;Canada;Yukon;0.0
2020-01-22;China;Anhui;1.0
2020-01-22;China;Beijing;14.0
2020-01-22;China;Chongqing;6.0
2020-01-22;China;Fujian;1.0
2020-01-22;China;Gansu;0.0
2020-01-22;China;Guangdong;26.0
2020-01-22;China;Guangxi;2.0
2020-01-22;China;Guizhou;1.0
2020-01-22;China;Hainan;4.0
2020-01-22;China;Hebei;1.0
2020-01-22;China;Heilongjiang;0.0
2020-01-22;China;Henan;5.0
2020-01-22;China;Hong Kong;0.0
2020-01-22;China;Hubei;444.0
2020-01-22;China;Hunan;4.0
2020-01-22;China;Inner Mongolia;0.0
2020-01-22;China;Jiangsu;1.0
2020-01-22;China;Jiangxi;2.0
2020-01-22;China;Jilin;0.0
2020-01-22;China;Liaoning;2.0
2020-01-22;China;Macau;1.0
2020-01-22;China;Ningxia;1.0
2020-01-22;China;Qinghai;0.0
2020-01-22;China;Shaanxi;0.0
2020-01-22;China;Shandong;2.0
2020-01-22;China;Shanghai;9.0
2020-01-22;China;Shanxi;1.0
2020-01-22;China;Sichuan;5.0
2020-01-22;China;Tianjin;4.0
2020-01-22;China;Tibet;0.0
2020-01-22;China;Xinjiang;0.0
2020-01-22;China;Yunnan;1.0
2020-01-22;China;Zhejiang;10.0
2020-01-22;Denmark;Faroe Islands;0.0
2020-01-22;Denmark;Greenland;0.0
2020-01-22;France;French Guiana;0.0
2020-01-22;France;French Polynesia;0.0
2020-01-22;France;Guadeloupe;0.0
2020-01-22;France;Martinique;0.0
2020-01-22;France;Mayotte;0.0
2020-01-22;France;New Caledonia;0.0
2020-01-22;France;Reunion;0.0
2020-01-22;France;Saint Barthelemy;0.0
2020-01-22;France;Saint Pierre and Miquelon;0.0
2020-01-22;France;St Martin;0.0
2020-01-22;Netherlands;Aruba;0.0
2020-01-22;Netherlands;Bonaire, Sint Eustatius and Saba;0.0
2020-01-22;Netherlands;Curacao;0.0
2020-01-22;Netherlands;Sint Maarten;0.0
2020-01-22;United Kingdom;Anguilla;0.0
2020-01-22;United Kingdom;Bermuda;0.0
2020-01-22;United Kingdom;British Virgin Islands;0.0
2020-01-22;United Kingdom;Cayman Islands;0.0
2020-01-22;United Kingdom;Channel Islands;0.0
2020-01-22;United Kingdom;Falkland Islands (Malvinas);0.0
2020-01-22;United Kingdom;Gibraltar;0.0
2020-01-22;United Kingdom;Isle of Man;0.0
2020-01-22;United Kingdom;Montserrat;0.0
2020-01-22;United Kingdom;Turks and Caicos Islands;0.0
2020-01-23;Australia;Australian Capital Territory;0.0
2020-01-23;Australia;New South Wales;0.0
2020-01-23;Australia;Northern Territory;0.0
2020-01-23;Australia;Queensland;0.0
2020-01-23;Australia;South Australia;0.0
2020-01-23;Australia;Tasmania;0.0
