;population
Canada;37809342.0
Korea, South;51278298.0
Kosovo;5000000.0
Kuwait;4283219.0
Kyrgyzstan;6545664.0
Laos;7296716.0
Latvia;1881786.0
Lebanon;6819062.0
Lesotho;2145703.0
Liberia;5080993.0
Libya;6890056.0
Liechtenstein;38151.0
Lithuania;2714207.0
Luxembourg;628010.0
MS Zaandam;
Madagascar;27829860.0
Malawi;19226331.0
Malaysia;32449426.0
Maldives;542438.0
Mali;20363707.0
Malta;441785.0
Mauritania;4673460.0
Mauritius;1272203.0
Mexico;129206715.0
Moldova;4032014.0
Monaco;39299.0
Mongolia;3288830.0
Montenegro;628082.0
Morocco;36998770.0
Mozambique;31425231.0
Kenya;54004419.0
Kazakhstan;18821980.0
Jordan;10223646.0
Japan;126395837.0
Estonia;1326719.0
Eswatini;1162594.0
Ethiopia;115520288.0
Fiji;897768.0
Finland;5542495.0
France;65303258.0
Gabon;2236031.0
Gambia;2429830.0
Georgia;3987576.0
Germany;83839002.0
Ghana;31200962.0
Greece;10412413.0
Grenada;112630.0
Guatemala;17981356.0
Nepal;29240966.0
Guinea;13202024.0
Guyana;787329.0
Haiti;11430533.0
Holy See;5000000.0
Honduras;9936072.0
Hungary;9655249.0
Iceland;341695.0
India;1382752528.0
Indonesia;274108479.0
Iran;84209239.0
Iraq;40399964.0
Ireland;4948924.0
Israel;9197590.0
Italy;60443373.0
Jamaica;2963817.0
Guinea-Bissau;1977120.0
Eritrea;3556272.0
Netherlands;17142680.0
Nicaragua;6640444.0
Sri Lanka;21431662.0
Sudan;44050115.0
Suriname;587699.0
Sweden;10112123.0
Switzerland;8667514.0
Syria;17583867.0
Taiwan*;23825661.0
Tajikistan;9579764.0
Tanzania;60063740.0
Thailand;69836028.0
Timor-Leste;1323423.0
Togo;8316781.0
Trinidad and Tobago;1400419.0
Tunisia;11843632.0
Turkey;84522503.0
US;331399277.0
Uganda;46018556.0
Ukraine;43678722.0
United Arab Emirates;9914483.0
United Kingdom;67958978.0
Uruguay;3476203.0
Uzbekistan;33566409.0
Venezuela;28419170.0
Vietnam;97516308.0
West Bank and Gaza;5000000.0
Western Sahara;600211.0
Yemen;29955256.0
Zambia;18483790.0
Zimbabwe;14906276.0
Spain;46758522.0
South Sudan;11220193.0
South Africa;59459197.0
Somalia;15979226.0
Niger;24372964.0
Nigeria;207138366.0
North Macedonia;2083356.0
Norway;5429866.0
Oman;5131974.0
Pakistan;221741906.0
Panama;4328339.0
Papua New Guinea;8980632.0
Paraguay;7150186.0
Peru;33064018.0
Philippines;109874163.0
Poland;37838014.0
Portugal;10190520.0
Qatar;2807805.0
New Zealand;5002100.0
Romania;19210772.0
Rwanda;13014982.0
Saint Kitts and Nevis;53276.0
Saint Lucia;183799.0
Saint Vincent and the Grenadines;5000000.0
San Marino;33946.0
Sao Tome and Principe;219967.0
Saudi Arabia;34922248.0
Senegal;16829846.0
Serbia;8730028.0
Seychelles;98471.0
Sierra Leone;8009043.0
Singapore;5859703.0
Slovakia;5460189.0
Slovenia;2078997.0
Russia;145947399.0
Equatorial Guinea;1411812.0
Namibia;2550048.0
Egypt;102717223.0
China;140000000.0
Australia;25559572.0
El Salvador;6492905.0
Denmark;5796391.0
Bosnia and Herzegovina;3276542.0
Botswana;2361014.0
Brazil;212867328.0
Brunei;438328.0
Bulgaria;6937455.0
Burkina Faso;21014584.0
Burma;5000000.0
Burundi;11959144.0
Cabo Verde;557207.0
Cambodia;16765404.0
Cameroon;26675003.0
Central African Republic;5000000.0
Chad;16517100.0
Chile;19149531.0
Bolivia;11704994.0
Colombia;50992538.0
Congo (Brazzaville);5000000.0
Congo (Kinshasa);5000000.0
Costa Rica;5103555.0
Cote d'Ivoire;5000000.0
Croatia;4099962.0
Cuba;11325184.0
Cyprus;1209149.0
Czechia;10713076.0
Diamond Princess;
Djibouti;990879.0
Dominica;72023.0
Dominican Republic;10869934.0
Comoros;873253.0
Bhutan;773324.0
Ecuador;17696656.0
Belize;399062.0
Benin;12185056.0
Afghanistan;39100693.0
Algeria;44008399.0
Albania;2877145.0
Belarus;9448679.0
Barbados;287448.0
Bangladesh;165021623.0
Bahrain;1712845.0
Azerbaijan;10157722.0
Bahamas;394006.0
Belgium;11599964.0
Armenia;2964385.0
Argentina;45279901.0
Antigua and Barbuda;98094.0
Angola;33062946.0
Andorra;77290.0
Austria;9016902.0
