;population
Canada;37805729.0
Korea, South;51277818.0
Kosovo;5000000.0
Kuwait;4282528.0
Kyrgyzstan;6544487.0
Laos;7295562.0
Latvia;1882012.0
Lebanon;6819394.0
Lesotho;2145518.0
Liberia;5079691.0
Libya;6889034.0
Liechtenstein;38149.0
Lithuania;2714619.0
Luxembourg;627899.0
MS Zaandam;
Madagascar;27822054.0
Malawi;19220911.0
Malaysia;32444894.0
Maldives;542334.0
Mali;20357307.0
Malta;441772.0
Mauritania;4672120.0
Mauritius;1272180.0
Mexico;129191920.0
Moldova;4032116.0
Monaco;39296.0
Mongolia;3288252.0
Montenegro;628082.0
Morocco;36993989.0
Mozambique;31415623.0
Kenya;53991444.0
Kazakhstan;18819526.0
Jordan;10222540.0
Japan;126400050.0
Estonia;1326710.0
Eswatini;1162463.0
Ethiopia;115489072.0
Fiji;897697.0
Finland;5542401.0
France;65301684.0
Gabon;2235455.0
Gambia;2429085.0
Georgia;3987660.0
Germany;83836082.0
Ghana;31193859.0
Greece;10412967.0
Grenada;112624.0
Guatemala;17977729.0
Nepal;29235232.0
Guinea;13198117.0
Guyana;787288.0
Haiti;11429014.0
Holy See;5000000.0
Honduras;9934349.0
Hungary;9655516.0
Iceland;341671.0
India;1382604367.0
Indonesia;274076888.0
Iran;84197490.0
Iraq;40390075.0
Ireland;4948322.0
Israel;9197590.0
Italy;60444341.0
Jamaica;2963676.0
Guinea-Bissau;1976610.0
Eritrea;3555736.0
Netherlands;17142267.0
Nicaragua;6639582.0
Sri Lanka;21430683.0
Sudan;44038896.0
Suriname;587641.0
Sweden;10111436.0
Switzerland;8666823.0
Syria;17579208.0
Taiwan*;23825191.0
Tajikistan;9577417.0
Tanzania;60045071.0
Thailand;69834119.0
Timor-Leste;1323149.0
Togo;8314655.0
Trinidad and Tobago;1400370.0
Tunisia;11842281.0
Turkey;84512590.0
US;331378104.0
Uganda;46002692.0
Ukraine;43681579.0
United Arab Emirates;9913177.0
United Kingdom;67955088.0
Uruguay;3476072.0
Uzbekistan;33561105.0
Venezuela;28420047.0
Vietnam;97506747.0
West Bank and Gaza;5000000.0
Western Sahara;600050.0
Yemen;29948061.0
Zambia;18478142.0
Zimbabwe;14903911.0
Spain;46758325.0
South Sudan;11218759.0
South Africa;59451026.0
Somalia;15974361.0
Niger;24363330.0
Nigeria;207082359.0
North Macedonia;2083357.0
Norway;5429403.0
Oman;5130550.0
Pakistan;221694953.0
Panama;4327596.0
Papua New Guinea;8978777.0
Paraguay;7149228.0
Peru;33058997.0
Philippines;109858222.0
Poland;37838466.0
Portugal;10190843.0
Qatar;2807805.0
New Zealand;5002100.0
Romania;19212167.0
Rwanda;13011463.0
Saint Kitts and Nevis;53272.0
Saint Lucia;183790.0
Saint Vincent and the Grenadines;5000000.0
San Marino;33945.0
Sao Tome and Principe;219922.0
Saudi Arabia;34916319.0
Senegal;16825007.0
Serbia;8730411.0
Seychelles;98465.0
Sierra Leone;8007267.0
Singapore;5859200.0
Slovakia;5460160.0
Slovenia;2078994.0
Russia;145946717.0
Equatorial Guinea;1411305.0
Namibia;2549545.0
Egypt;102696097.0
China;140000000.0
Australia;25556340.0
El Salvador;6492548.0
Denmark;5796169.0
Bosnia and Herzegovina;3276764.0
Botswana;2360494.0
Brazil;212850840.0
Brunei;438282.0
Bulgaria;6938023.0
Burkina Faso;21008296.0
Burma;5000000.0
Burundi;11955257.0
Cabo Verde;557141.0
Cambodia;16762875.0
Cameroon;26667760.0
Central African Republic;5000000.0
Chad;16511928.0
Chile;19147740.0
Bolivia;11703253.0
Colombia;50986614.0
Congo (Brazzaville);5000000.0
Congo (Kinshasa);5000000.0
Costa Rica;5103047.0
Cote d'Ivoire;5000000.0
Croatia;4100237.0
Cuba;11325259.0
Cyprus;1209053.0
Czechia;10712859.0
Diamond Princess;
Djibouti;990722.0
Dominica;72021.0
Dominican Republic;10868746.0
Comoros;873051.0
Bhutan;773232.0
Ecuador;17693726.0
Belize;398983.0
Benin;12181574.0
Afghanistan;39091088.0
Algeria;43999733.0
Albania;2877180.0
Belarus;9448713.0
Barbados;287444.0
Bangladesh;165003705.0
Bahrain;1712195.0
Azerbaijan;10156724.0
Bahamas;393965.0
Belgium;11599414.0
Armenia;2964324.0
Argentina;45275373.0
Antigua and Barbuda;98085.0
Angola;33051720.0
Andorra;77289.0
Austria;9016342.0
